#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#ID, version, HIP, TYC, UCAC, TWOMASS, SDSS, ALLWISE, GAIA, APASS, KIC, objType, typeSrc, ra, dec, POSflag, pmRA, e_pmRA, pmDEC, e_pmDEC, PMflag, plx, e_plx, PARflag, gallong, gallat, eclong, eclat, Bmag, e_Bmag, Vmag, e_Vmag, umag, e_umag, gmag, e_gmag, rmag, e_rmag, imag, e_imag, zmag, e_zmag, Jmag, e_Jmag, Hmag, e_Hmag, Kmag, e_Kmag, TWOMflag, prox, w1mag, e_w1mag, w2mag, e_w2mag, w3mag, e_w3mag, w4mag, e_w4mag, GAIAmag, e_GAIAmag, Tmag, e_Tmag, TESSflag, SPFlag, Teff, e_Teff, logg, e_logg, MH, e_MH, rad, e_rad, mass, e_mass, rho, e_rho, lumclass, lum, e_lum, d, e_d, ebv, e_ebv, numcont, contratio, disposition, duplicate_id, priority, eneg_EBV, epos_EBV, EBVflag, eneg_Mass, epos_Mass, eneg_Rad, epos_Rad, eneg_rho, epos_rho, eneg_logg, epos_logg, eneg_lum, epos_lum, eneg_dist, epos_dist, distflag, eneg_Teff, epos_Teff, TeffFlag, gaiabp, e_gaiabp, gaiarp, e_gaiarp, gaiaqflag, starchareFlag, VmagFlag, BmagFlag, splists, e_RA, e_Dec, RA_orig, Dec_orig, e_RA_orig, e_Dec_orig, raddflag, wdflag, objID
#@string, string, int, string, string, string, string, string, string, string, int, string, string, ra, dec, string, string, string, string, string, string, string, string, string, float, float, float, float, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, int, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, string, int, string, string, string, string, float, float, float, float, float, float, int, int, string
ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
439949946,20190415,473,3246-00874-1,680-000558,00054091+4548435,,,386653851004022144,,,STAR,tmgaia2,1.42092453196458,45.8120958899851,tmgaia2,888.615,0.0711805,-162.47,0.0454234,gaia2,86.8735,0.0484298,gaia2,114.650520605484,-16.3226474091647,23.3691630640458,40.6179782086971,10.175,0.027,8.2,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1,0.026,6.816,NaN,5.262,0.016,AUA-101-101-d0d-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.24816,0.000498,7.3776,0.006,gbprp,gaia2,3959,127.195,4.64562,0.125805,NaN,NaN,0.620039,0.0659397,0.62,0.0824326,2.60096,0.969715,DWARF,0.08508937,0.007832865,11.5072,0.00645,0,0,194,0.9648089,,,0.01236145,0,0,,0.068253,0.0966122,0.0537427,0.0781367,0.985595,0.953834,0.127803,0.123807,0.00601351,0.00965222,0.0065,0.0064,bj2018,116.307,138.083,dered0,9.17674,0.001562,7.32054,0.000926,1,,hipvmag,tycho2b3,,1.19861838214134,0.704757570700834,1.42641363651047,45.8113964977836,0.0457796522664617,0.0312881435827001,1,0,1378586
439949948,20190415,473,3246-00874-2,680-000557,00054090+4548374,,,386653747924807424,,,STAR,tmgaia2,1.42084507877455,45.8103759730057,tmgaia2,845.89,0.169971,-148.54,0.108868,gaia2,86.9402,0.0587977,gaia2,114.650134280112,-16.324327803142,23.3679139366896,40.6165421958,10.346,0.033,8.2,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.142,0.026,4.708,9.996,5.284,0.023,AFA-131-111-d0d-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30098,0.000564,7.4218,0.006,gbprp,gaia2,3947,127.288,4.65149,0.128504,NaN,NaN,0.61088,0.0676583,0.61,0.0826754,2.67585,1.02616,DWARF,0.0815972,0.00788732,11.4983,0.00785,0,0,192,1.042278,,,0.01234498,0,0,,0.0850889,0.0802619,0.0553894,0.0799271,1.24609,0.806224,0.161631,0.0953777,0.00582486,0.00994978,0.0078,0.0079,bj2018,121.391,133.185,dered0,9.24523,0.001643,7.36468,0.001425,1,,hipvmag,tycho2b3,,2.86235587952116,1.68921326627031,1.42607010336891,45.8097365448578,0.114627722267533,0.0770743590800838,1,0,1378588
439967669,20190415,,,690-001014,00080642+4757025,,J000806.29+475702.4,393155984814848128,54878600,,STAR,tmgaia2,2.02676663756564,47.9506585620779,tmgaia2,-123.729,0.113953,4.5089,0.0708659,gaia2,53.6844,0.0763026,gaia2,115.468201044901,-14.2921506204586,25.3495422292586,42.2116193834442,14.39,0.059,12.779,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.523,0.034,8,0.047,7.677,0.021,AAA-111-111-000-0-0,NaN,7.473,0.033,7.336,0.02,7.221,0.017,6.962,0.069,11.4074,0.001814,10.1345,0.00734586,cdwrf,cdwrf,3282,157,4.82955,0.0032093,NaN,NaN,0.396859,0.0118449,0.38793,0.0202785,6.20647,0.231207,DWARF,0.01646347,0.00415651,18.6174,0.02665,0,0,220,0.03634812,,,0.008765043,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266,0.0267,bj2018,NaN,NaN,cdwrf,13.0094,0.003358,10.216,0.001427,1,,cdwrf,apassdr9,cooldwarfs_v8,1.93424300828851,1.09939424886702,2.02597125732594,47.9506779781432,0.0677911168724054,0.0462388648409163,1,0,2350888
201892746,20190415,,,,00121479+5025213,,,395234439752169344,,,STAR,tmgaia2,3.06143773112526,50.4224265658244,tmgaia2,-461.366,0.036839,-551.628,0.023186,gaia2,91.9825,0.0288491,gaia2,116.568736042412,-11.9644710138584,27.966991308926,43.9178209741299,NaN,NaN,14.3361,0.0459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.49,0.022,13.249,0.026,13.191,0.03,AAA-222-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2474,0.000238,13.9193,0.006,gbprp,gaia2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,10.8682,0.0034,0,0,,NaN,,,NaN,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034,0.0034,bj2018,NaN,NaN,,14.4704,0.002031,13.8494,0.000908,1,,gaia2,,,0.631406026930564,0.359671139669474,3.0583199045994,50.420051542464,0.0191098421073117,0.0143940273078091,1,1,3174615
365965170,20190415,,,,00154476+3516026,1237659889193320895,J001544.81+351559.8,2876239130257160960,,,STAR,tmgaia2,3.93655711910785,35.2673998328269,tmgaia2,55.1754,0.454076,-257.099,0.283194,gaia2,58.6085,0.366407,gaia2,114.758097470629,-27.0372285620554,19.039719419548,30.494235101863,NaN,NaN,NaN,NaN,30,50,22.9315,0.226543,20.4867,0.0345246,18.1798,0.0096467,16.4576,0.00846276,13.878,0.031,12.892,0.036,12.264,0.024,AAA-222-111-000-0-0,NaN,11.794,0.023,11.538,0.021,10.949,0.1,9.128,NaN,18.6818,0.002542,17.1882,0.0188,gbprp,gaia2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,17.0552,0.1074,0,0,,NaN,,,NaN,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1067,0.1081,bj2018,NaN,NaN,,21.5899,0.127348,17.0754,0.008614,1,,,,,7.39128216156272,4.39374422387489,3.93684808122982,35.2662928791385,0.300575842888773,0.192916048541695,-1,0,3272177
407457205,20190415,1860,4496-00012-1,836-000634,00232865+7711217,,,540136568911394944,60543771,,STAR,tmgaia2,5.870113592187,77.1892921713162,tmgaia2,-837.394,0.0424288,45.2361,0.0372701,gaia2,52.2518,0.0208821,gaia2,121.33562890542,14.4042769824627,61.6439657533681,62.3283603604167,12.907,0.138,11.316,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.042,0.023,7.39,0.038,7.187,0.026,AAA-111-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4206,0.000669,9.35335,0.00729848,cdwrf,cdwrf,3626,157,4.75637,0.00754708,NaN,NaN,0.478405,0.0144227,0.476312,0.0204381,4.35015,0.206951,DWARF,0.03564489,0.008364053,19.1275,0.0077,0,0,240,0.1341542,,,0.01340657,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bj2018,NaN,NaN,cdwrf,11.5721,0.00179,9.38787,0.001128,1,,cdwrf,apassdr9,cooldwarfs_v8,0.841713697777524,0.577996197469157,5.85385312044683,77.1894874367303,0.021678989122773,0.0189170356531509,1,0,5183002
407457207,20190415,,,,00233165+7711267,,,540136568911394432,,,STAR,tmgaia2,5.88252067738385,77.1907260945927,tmgaia2,-836.862,0.107006,55.7586,0.0865951,gaia2,52.2114,0.0517631,gaia2,121.338616686197,14.4053946159957,61.6496974148295,62.3267672818538,19.318,0.253,15.17,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.934,0.023,9.358,0.03,9.11,0.022,AAA-222-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.8467,0.000735,11.5469,0.0073468,cdwrf,cdwrf,3269,157,5.00415,0.0161011,NaN,NaN,0.237169,0.00715767,0.207107,0.0201193,15.5246,0.106535,DWARF,0.005787223,0.001469498,19.1423,0.0191,0,0,240,6.594509,,,0.00566147,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191,0.0191,bj2018,NaN,NaN,cdwrf,14.4499,0.003643,11.6297,0.001428,1,,cdwrf,bpbj,cooldwarfs_v8,2.12291941646074,1.34296115437692,5.86626874729733,77.1909666646384,0.0578466304716674,0.0444888948725548,1,0,5183004
408516077,20190415,,,503-000932,00355557+1028352,1237678907323252835,,2751296646125543040,,,STAR,tmgaia2,8.98133621512054,10.4765316354028,tmgaia2,1085.01,0.145117,-384.934,0.0934122,gaia2,69.4698,0.0730987,gaia2,116.701387257501,-52.2074530619722,12.3788172956647,6.0712648072949,NaN,NaN,16.03,0.2,18.9396,0.0264496,16.3225,0.00452642,15.343,0.012237,13.0738,0.000717406,12.2295,0.00273506,10.222,0.023,9.656,0.03,9.367,0.023,AAA-222-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.5836,0.00047,12.1104,0.00740655,cdwrf,cdwrf,3000,157,5.12832,0.0369235,NaN,NaN,0.168294,0.00508248,0.138801,0.0200458,29.1197,1.58228,DWARF,0.002066888,0.0005611418,14.3888,0.01525,0,0,26,0.001627285,,,0.005894923,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bj2018,NaN,NaN,cdwrf,15.6482,0.003319,12.2389,0.001756,1,,cdwrf,,cooldwarfs_v8,2.25968194135969,1.44869099062352,8.98608698370862,10.4748743159221,0.065105708986829,0.0481948173036853,1,0,8011798
240688842,20190415,,,708-005711,00383388+5127579,,J003833.61+512758.3,415665118140313472,56527231,,STAR,tmgaia2,9.64114518245924,51.4660750810008,tmgaia2,-228.201,0.115074,35.5653,0.077767,gaia2,56.028,0.0860401,gaia2,120.887591445247,-11.3545661008223,33.5237041913082,42.546538525476,14.215,0.016,12.619,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.892,0.032,8.336,0.023,8.062,0.016,AAA-111-111-000-0-0,NaN,7.887,0.026,7.749,0.02,7.642,0.017,7.564,0.099,11.4904,0.001354,10.3375,0.00724938,cdwrf,cdwrf,3452,157,4.88977,0.00207446,NaN,NaN,0.334097,0.00986375,0.315826,0.0201353,8.46896,0.209523,DWARF,0.01427983,0.003459132,17.8391,0.0276,0,0,357,0.111516,,,0.009968291,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0276,0.0276,bj2018,NaN,NaN,cdwrf,12.8577,0.001165,10.3933,0.000669,1,,cdwrf,apassdr9,cooldwarfs_v8,1.98105078760027,1.20645117530811,9.6395680284799,51.4662282199552,0.0641344593368089,0.0506261046305295,1,0,8787556
311931991,20190415,,,726-006062,00391896+5508132,,,418363560198079616,57947270,,STAR,tmgaia2,9.82889949510446,55.1369517420168,tmgaia2,-360.696,0.0762501,-234.161,0.0657584,gaia2,58.2398,0.0651541,gaia2,121.184403700848,-7.69365864998959,36.443769981144,45.5611788857659,16.011,0.088,14.186,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.021,0.02,9.519,0.021,9.236,0.016,AAA-222-111-000-0-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.8956,0.000385,11.6104,0.00731191,cdwrf,cdwrf,3298,157,5.05412,0.0243973,NaN,NaN,0.205511,0.00608252,0.17447,0.0200429,20.1009,0.531327,DWARF,0.004501606,0.001129977,17.1619,0.01935,0,0,342,0.03456747,,,0.009108701,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193,0.0194,bj2018,NaN,NaN,cdwrf,14.4507,0.001579,11.6887,0.001227,1,,cdwrf,apassdr9,cooldwarfs_v8,1.33377334905191,1.02004406816423,9.8261826459141,55.1359435790258,0.0373368922691023,0.0401090796453335,1,0,8953864
