,GAIA,TWOMASS,ra,dec,plx,Vmag,Kmag,Teff,lum
25,,00322979+6714043,8.1226,67.2357,98.74,10.27,6.377000000000000,3417.0,0.0267979869684
35,,03480174+6840388,57.00727,68.67759000000000,57.53,9.41,6.572,3445.0,0.04448
36,4.9365066039652E+17,,57.0070509691206,68.6774349748478,52.3391,11.2767,6.572000026702880,3445.0,0.04448
41,,,67.79549,58.977072,181.36,10.82,5.71999979019165,3277.0,0.0103133258092
50,,,68.98015600000000,16.509301,50.09,0.8723990000000000,,4020.0,495.46300035
55,,,79.172265,45.997991,77.29,0.041157,,5307.0,0.503374690733
70,4.3469003655489E+17,,47.3783830767708,45.73300788157470,57.1088,10.11,5.840000152587890,3991.0,0.0615826222852
74,,02274591+0425557,36.941259,4.432104,60.22,8.69,5.113,3928.0,0.07879
81,3.85334230892517E+17,00182256+4401222,4.59535405639756,44.0229547993762,280.69,8.09,4.018,3592.0,0.0370389126444
87,,,85.378037,53.489801,80.13,9.78,5.760000228881840,3733.0,0.0517032286647
95,1.00375258742947E+18,,103.518128084453,60.8717138003585,92.3604,10.9964,6.34499979019165,3444.0,0.0189810640415
99,,,111.869248,22.043872,50.93,11.25,6.946000099182130,3776.0,0.0427901058827
100,,,112.98898500000000,36.229837000000000,87.15,11.82,6.755000114440920,3122.0,0.0171257735584
102,,,24.624743,0.6515770000000000,52.95,11.6,7.323999881744390,3679.0,0.0341527896082
112,3.40715055609192E+18,,76.9554178626804,17.9826832195604,86.0992,11.8191,7.179999828338620,3494.0,0.01070891922
121,3.52649456753106E+17,,31.7382747279692,45.184494856910600,51.4705,10.1977,6.5980000495910600,3953.0,0.0632657426486
132,3.16534653872978E+18,,113.73470055595300,14.7649516327809,61.7951,11.4648,6.3979997634887700,3504.0,0.0320737691616
134,,,114.825498,5.224993,285.93,0.33322200000000000,,6560.0,7.70408676475
135,,,116.32911500000000,28.026199,96.74,1.1251200000000000,,4910.0,37.2317290982
153,6.0746471675946E+17,09121762+1459454,138.073119022651,14.9960397966621,50.2302,6.49541,4.664,5433.0,1.05707051519
174,6.25453654702752E+17,10193634+1952122,154.901170011872,19.870003899297,201.368,9.64,4.593,3471.0,0.0192123998114
178,,11032027+3558203,165.8341,35.9699,392.4,7.49,3.5010000000000000,4070.0,0.0232549252969
179,,11111972+4325031,167.8311,43.4173,59.01,10.975,6.531000000000000,3500.0,0.04049326
182,,06105481+1019056,92.7283,10.3181,92.77,10.41,6.032,3647.0,0.0269323748233
184,,06540419+6052191,103.5177,60.8718,94.02,11.01,6.345,3444.0,0.0189810640415
185,,07272450+0513329,111.8521,5.2258,263.26,9.84,4.857,3193.0,0.00991254379627
195,2.85390087220715E+18,,0.543088080825098,27.081799109425400,79.0696,5.6953,4.070000171661380,5570.0,0.559188823788
198,,01031408+2005523,15.809000000000000,20.0978,62.8193,11.36,6.832000000000000,3553.0,0.02853416
209,,11111972+4325031,167.8335,43.4179,59.01,10.975,6.531000000000000,3517.0,0.04049326
212,,,175.436377,42.751974,90.66,11.86,6.822000026702880,3204.0,0.015
