,GAIA,TWOMASS,ra,dec,plx,Vmag,Kmag,Teff,Lum
0,3.866538510040221e+17,00054091+4548435,1.42092453196458,45.8120958899851,86.8735,8.2,5.2620000000000005,3959.0,0.08508937
1,3.866537479248074e+17,00054090+4548374,1.42084507877455,45.810375973005705,86.9402,8.2,5.284,3947.0,0.0815972
5,5.401365689113949e+17,00232865+7711217,5.870113592187001,77.18929217131621,52.2518,11.316,7.187,3626.0,0.03564489
12,4.273224153015502e+17,00530419+6107262,13.2674828542105,61.12397272636999,53.1896,4.7942,3.638,6114.22,3.577349
15,2.5150372640410414e+18,02122090+0334310,33.0874477475419,3.5756196161538,95.1619,10.04,6.077000000000001,3671.0,0.03296081
17,5.203777952061147e+17,02154252+6740205,33.927306760538805,67.67231260042189,53.7804,7.215,5.143,5134.0,0.458449
18,2.3538324741261597e+17,03180742+3815081,49.5311683138251,38.252065711049795,62.5647,10.29,6.164,3669.0,0.05584909
21,,00091071+5908591,2.294576,59.149788,59.89,2.2736,1.454,6810.0,27.95
22,3.834263720596037e+17,00170635+4056538,4.27655780322779,40.948296996815714,68.0351,8.99,5.577000000000001,4017.0,0.11926689999999998
24,5.301580198552169e+17,00265268+7008326,6.71959178435433,70.1424216958513,61.8444,10.525,6.568,3709.0,0.04600441
25,,00322979+6714043,8.1226,67.2357,98.74,10.27,6.377000000000002,3417.0,0.0267979869684
27,,01081597+5455148,17.067652,54.920339,132.4,5.17551,3.505,5316.0,0.333671534829
32,,03365238+0024054,54.2183,0.401603,72.89,4.2872,2.835,6033.55,4.0038855061
34,4.936506604004635e+17,03480101+6840222,57.004309719961995,68.6728922029625,55.8339,9.17,6.108,4171.0,0.1118568
35,,03480174+6840388,57.00727,68.67759000000001,57.53,9.41,6.572,3445.0,0.04448
36,4.9365066039652006e+17,,57.0070509691206,68.6774349748478,52.3391,11.2767,6.57200002670288,3445.0,0.04448
38,2.1905745824792157e+17,04031512+3516226,60.8124929381463,35.2732796445296,53.9806,8.51,6.195,4809.22,0.1520735
40,1.454213091083012e+17,04290013+2155214,67.2505155735941,21.922699727603998,88.9622,8.3,4.875,4229.35,0.113896
41,,,67.79549,58.977072,181.36,10.82,5.71999979019165,3277.0,0.0103133258092
43,5.601307755461533e+17,01215911+7642372,20.4963050880599,76.7102881448834,58.8216,7.178960000000001,5.159,5136.0,0.3923153
45,9.633117294261453e+16,01422977+2016073,25.6240145562046,20.268516735107802,131.49,5.25221,3.285,5190.0,0.4535097
46,2.99464296906886e+17,01530489+2934442,28.270440931427693,29.578822803803806,50.87,3.4221800000000004,2.274,6347.6,14.4698020243
47,,01543840+2048291,28.660037,20.808067,54.74,2.6507,2.27,8318.0,22.13
49,5.149230836618936e+17,02013533+6346118,30.3972528970182,63.7699988065401,84.0271,11.023,6.3889999999999985,3445.0,0.0248496
50,,,68.98015600000001,16.509301,50.09,0.8723989999999999,,4020.0,495.46300035
55,,,79.172265,45.997991,77.29,0.041157,,5307.0,0.503374690733
56,1.887711355835735e+17,05190848+4005565,79.785314426858,40.099052677084295,80.1054,4.70109,3.0380000000000003,5873.0,1.762501
