ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
420470815,20190415,2552.0,4027-00803-1,787-000994,00322979+6714043,,,,,,STAR,2mass,8.1226,67.2357,2mass,1775.97,2.0,-297.7,2.0,tic7,98.74,3.37,hip,121.09530900000001,4.431541999999999,47.425917999999996,55.514263,11.770999999999999,0.11599999999999999,10.27,0.1,,,,,,,,,,,7.172000000000001,0.085,6.537999999999999,0.09,6.377000000000001,0.061,AAA-111-111-ccc-0-0,,,,,,,,,,,,8.446,0.048,cdwrf,cdwrf,,,4.83395,0.00797458,,,0.392092,0.0156125,0.382525,0.023425900000000003,6.345940000000001,0.369738,DWARF,0.0,0.0,21.18117,0.345656,,,494.0,2.0279130000000003,,,0.01711263,,,,,,,,,,,,,,,,,,,,,,,,,,cdwrf,tycho2b3,cooldwarfs_v8,60.0,60.0,8.124158,67.23455,60.0,60.0,1.0,0.0,8042125
85623046,20190415,17750.0,4327-01502-1,794-010490,03480174+6840388,,,,59513610.0,,STAR,2mass,57.00727,68.67759000000001,2mass,61.0,8.0,465.0,8.0,tic7,57.53,2.68,hip,137.888846,11.102441,73.06729200000001,47.169321000000004,12.298,0.146,9.41,0.03,,,,,,,,,,,7.379,0.021,6.797999999999999,0.018000000000000002,6.572,0.017,AAA-111-111-000-0-0,,,,,,,,,,,,10.196,0.9,voffs,splin,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,apassdr9,,60.0,70.0,57.00725,68.67746700000001,60.0,70.0,,0.0,51941380
648595827,20190415,,,,,,,4.9365066039652006e+17,,,STAR,gaia2,57.0070509691206,68.6774349748478,gaia2,131.997,1.16868,260.199,1.16421,gaia2,52.3391,0.647543,gaia2,137.888889550183,11.1022737354444,73.0671008059766,47.169207201846504,,,11.2767,0.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4054,0.006593000000000001,9.4189,0.0089,gbprp,gaia2,,,,,,,,,,,,,,,,19.1014,0.2381,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.2352,0.24100000000000002,bj2018,,,,10.970999999999998,0.0050799999999999994,8.77064,0.003256,0.0,,gaia2,,,21.944867317718302,18.0514421686698,57.0086139286281,68.6785552833245,0.523641705094222,0.4725847583292121,1.0,0.0,52798351
471011437,20190415,21088.0,,,,,,,,,STAR,hip,67.79549,58.977072,hip,1300.21,4.27,-2048.99,3.1,tic7,181.36,3.67,hip,148.101732,7.310776,75.956622,36.615553999999996,,,10.82,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82,,hipvm,,,,,,,,,,,,,,,,,5.513895,0.111579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,,,3810.0,2800.0,67.79185895,58.98205252,3810.0,2800.0,,0.0,63020799
471011442,20190415,21421.0,,,,,,,,,STAR,hip,68.98015600000001,16.509301,hip,62.78,0.85,-189.36,0.63,tic7,50.09,0.95,hip,180.971902,-20.248305,69.789182,-5.467327,,,0.8723989999999999,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,hipvm,kplnt,,,,,,,,,,,,,,,,19.96407,0.37863600000000003,,,,,DUPLICATE,245873777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,,,850.0,530.0,68.98000195,16.50976164,850.0,530.0,,0.0,64131151
471011465,20190415,24608.0,,,,,,,,,STAR,hip,79.172265,45.997991,hip,75.52,0.77,-427.13,0.5,tic7,77.29,0.89,hip,162.588445,4.566391,81.857872,22.864269,,,0.041157,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,hipvm,,,,,,,,,,,,,,,,,12.93828,0.14898499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,,,800.0,510.0,79.17206517,45.99902927,800.0,510.0,,0.0,78901203
644198603,20190415,,,,,,,4.3469003655488986e+17,,,STAR,gaia2,47.3783830767708,45.73300788157471,gaia2,-422.17900000000003,1.77332,-381.103,1.7579099999999999,gaia2,57.1088,0.819751,gaia2,146.667413873117,-10.6795018939018,57.988983657539606,26.9169319920998,,,10.11,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21738,0.000814,8.2221,0.0061,gbprp,gaia2,,,,,,,,,,,,,,,,17.5087,0.2533,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.2497,0.2569,bj2018,,,,10.3964,0.001484,8.16843,0.0033539999999999998,0.0,,gaia2,,,29.839813822801105,27.257772068228803,47.3757789110109,45.7313670510038,0.715959972423134,0.7444191611510849,1.0,0.0,43595428
422844595,20190415,11452.0,0042-00911-1,473-003443,02274591+0425557,,J022746.00+042557.5,,36427845.0,,STAR,2mass,36.941259,4.432104,2mass,179.91,2.0,190.38,2.0,tic7,60.22,1.75,hip,162.990242,-50.792334999999994,36.07237,-9.639396000000001,10.104,0.028999999999999998,8.69,0.03,,,,,,,,,,,5.99,0.02,5.332000000000001,0.028999999999999998,5.113,0.018000000000000002,AAA-111-111-000-0-0,,5.08,0.205,4.949,0.08199999999999999,5.065,0.015,5.003,0.031,,,7.221,0.03,vjk,splin,,,,,,,,,,,,,GIANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,apassdr9,,60.0,60.0,36.941292,4.432139,60.0,60.0,,0.0,33633472
440109725,20190415,1475.0,2794-00157-1,,00182256+4401222,,,3.853342308925165e+17,,,STAR,tmgaia2,4.59535405639756,44.0229547993762,tmgaia2,2891.52,0.061127499999999994,411.903,0.0335658,gaia2,280.69,0.042903,gaia2,116.67691533492099,-18.4469473182023,24.675028045791002,37.929039940839296,9.616,0.024,8.09,0.1,,,,,,,,,,,5.252000000000001,0.264,4.476,0.2,4.018,0.02,DCE-331-111-000-0-0,,,,,,,,,,7.2162,0.0005070000000000001,6.229,0.032,cdwrf,cdwrf,,,4.820790000000001,0.003757,,,0.40639899999999995,0.0120867,0.39868600000000004,0.0202552,5.93982,0.228156,DWARF,0.0,0.0,3.5622800000000003,0.00055,0.0,0.0,159.0,0.15222629999999998,,,0.03130978,0.0,0.0,,,,,,,,,,,,0.00055,0.00055,bj2018,,,,8.3553,0.000984,6.18219,0.001159,1.0,,cdwrf,tycho2b3,cooldwarfs_v8,1.0225371131894498,0.5207933937324539,4.61266773699426,44.02472957785271,0.0338947636872682,0.0233450232246038,1.0,0.0,4340370
471011475,20190415,26801.0,,,,,,,,,STAR,hip,85.378037,53.489801,hip,3.16,1.61,-517.26,1.04,tic7,80.13,1.67,hip,158.38983000000002,11.97199,86.82324100000001,30.101466,,,9.78,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,,hipvm,,,,,,,,,,,,,,,,,12.47972,0.260092,,,,,DUPLICATE,311064351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,,,1330.0,890.0,85.37802824,53.49105798,1330.0,890.0,,0.0,88825187
